grid_size,num_robots,seed,time_taken,total_steps,coverage_pct,completeness,collisions,frozen_robots,overlap_area,robots_completed,avg_cells_per_robot,avg_path_per_robot,total_coverage,area_R1,area_R2,area_R3,area_R4,area_R5,area_R6,area_R7,area_R8,area_R9,area_R10,area_R11,area_R12,area_R13,area_R14,area_R15,area_R16,area_R17,area_R18,area_R19,area_R20,area_R21,area_R22,area_R23,area_R24,area_R25,area_R26,area_R27,area_R28,area_R29,area_R30,area_R31,area_R32,area_R33,area_R34,area_R35,area_R36,area_R37,area_R38,area_R39,area_R40
16,5,1,134,134,97.06,N,2,1,6,2,48.8,48.8,231,4,43,47,82,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,5,2,143,143,96.22,N,1,1,4,3,48.4,48.4,229,16,69,72,15,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,5,3,209,209,88.24,N,3,1,9,1,44.6,44.6,210,10,55,6,47,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,5,4,152,152,97.06,N,1,0,1,4,47.8,47.8,231,76,28,53,53,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,5,5,148,148,100.0,Y,0,1,1,4,47.8,47.8,238,11,22,77,98,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,5,6,205,205,76.47,N,3,1,11,1,39.0,39.0,182,20,34,7,31,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,5,7,197,197,96.64,N,2,2,10,1,49.6,49.6,230,72,13,11,53,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,5,8,166,166,97.9,N,2,1,3,2,47.8,47.8,233,47,26,45,37,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,5,9,253,253,97.48,N,2,1,6,2,48.8,48.8,232,27,32,47,11,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,5,10,112,112,97.9,N,0,1,3,4,48.2,48.2,233,57,41,58,29,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,5,11,288,288,97.9,N,4,0,14,1,50.2,50.2,233,10,11,22,63,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,5,12,309,309,97.9,N,2,2,7,1,48.8,48.8,233,8,33,37,11,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,5,13,213,213,100.0,Y,1,2,5,2,48.6,48.6,238,46,15,45,26,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
