grid_size,num_robots,avg_coverage_time,min_coverage_time,max_coverage_time,std_coverage_time,success_rate,avg_total_steps,avg_coverage_pct,avg_cells_per_robot,avg_path_per_robot
50,50,308.04,179,430,77.47953536257171,100.0,308.04,100.0,46.5,46.5
50,100,138.4,81,290,42.36980056596916,100.0,138.4,100.0,23.25,23.25
50,150,96.36,61,186,33.19865057498573,100.0,96.36,100.0,15.5,15.5
50,200,72.0,39,207,33.7354413043612,100.0,72.0,100.0,11.625,11.625
50,250,49.92,30,86,14.19273053362178,100.0,49.92,100.0,9.3,9.3
50,300,38.24,26,67,8.6453687023747,100.0,38.24,100.0,7.75,7.75
50,350,31.12,20,54,9.249086441373548,100.0,31.12,100.0,6.642857142857143,6.642857142857143
50,400,24.76,15,43,5.770823164852653,100.0,24.76,100.0,5.8125,5.8125
50,450,22.36,15,36,5.402814081568974,100.0,22.36,100.0,5.166666666666666,5.166666666666666
50,500,19.04,11,34,5.792961246202153,100.0,138.52,100.0,4.65,4.65
