grid_size,num_robots,seed,coverage_time,total_steps,coverage_pct,robots_completed,avg_cells_per_robot,avg_path_per_robot,total_coverage
16,5,1,176,176,100,5,47.6,47.6,238
16,5,2,103,103,100,5,47.6,47.6,238
16,5,3,151,151,100,5,47.6,47.6,238
16,5,4,85,85,100,5,47.6,47.6,238
16,5,5,79,79,100,5,47.6,47.6,238
16,5,6,201,201,100,5,47.6,47.6,238
16,5,7,231,231,100,5,47.6,47.6,238
16,5,8,129,129,100,5,47.6,47.6,238
16,5,9,102,102,100,5,47.6,47.6,238
16,5,10,99,99,100,5,47.6,47.6,238
16,5,11,141,141,100,5,47.6,47.6,238
16,5,12,105,105,100,5,47.6,47.6,238
16,5,13,130,130,100,5,47.6,47.6,238
16,5,14,101,101,100,5,47.6,47.6,238
16,5,15,135,135,100,5,47.6,47.6,238
16,5,16,111,111,100,5,47.6,47.6,238
16,5,17,89,89,100,5,47.6,47.6,238
16,5,18,139,139,100,5,47.6,47.6,238
16,5,19,149,149,100,5,47.6,47.6,238
16,5,20,81,81,100,5,47.6,47.6,238
16,5,21,254,254,100,5,47.6,47.6,238
16,5,22,165,165,100,5,47.6,47.6,238
16,5,23,118,118,100,5,47.6,47.6,238
16,5,24,331,331,100,5,47.6,47.6,238
16,5,25,91,91,100,5,47.6,47.6,238
16,10,1,53,53,100,10,23.8,23.8,238
16,10,2,55,55,100,10,23.8,23.8,238
16,10,3,77,77,100,10,23.8,23.8,238
16,10,4,60,60,100,10,23.8,23.8,238
16,10,5,57,57,100,10,23.8,23.8,238
16,10,6,57,57,100,10,23.8,23.8,238
16,10,7,73,73,100,10,23.8,23.8,238
16,10,8,96,96,100,10,23.8,23.8,238
16,10,9,50,50,100,10,23.8,23.8,238
16,10,10,45,45,100,10,23.8,23.8,238
16,10,11,54,54,100,10,23.8,23.8,238
16,10,12,57,57,100,10,23.8,23.8,238
16,10,13,115,115,100,10,23.8,23.8,238
16,10,14,58,58,100,10,23.8,23.8,238
16,10,15,58,58,100,10,23.8,23.8,238
16,10,16,52,52,100,10,23.8,23.8,238
16,10,17,70,70,100,10,23.8,23.8,238
16,10,18,93,93,100,10,23.8,23.8,238
16,10,19,86,86,100,10,23.8,23.8,238
16,10,20,46,46,100,10,23.8,23.8,238
16,10,21,86,86,100,10,23.8,23.8,238
16,10,22,47,47,100,10,23.8,23.8,238
16,10,23,68,68,100,10,23.8,23.8,238
16,10,24,87,87,100,10,23.8,23.8,238
16,10,25,160,160,100,10,23.8,23.8,238
16,15,1,39,39,100,15,15.86666667,15.86666667,238
16,15,2,43,43,100,15,15.86666667,15.86666667,238
16,15,3,51,51,100,15,15.86666667,15.86666667,238
16,15,4,44,44,100,15,15.86666667,15.86666667,238
16,15,5,47,47,100,15,15.86666667,15.86666667,238
16,15,6,33,33,100,15,15.86666667,15.86666667,238
16,15,7,52,52,100,15,15.86666667,15.86666667,238
16,15,8,50,50,100,15,15.86666667,15.86666667,238
16,15,9,30,30,100,15,15.86666667,15.86666667,238
16,15,10,51,51,100,15,15.86666667,15.86666667,238
16,15,11,39,39,100,15,15.86666667,15.86666667,238
16,15,12,45,45,100,15,15.86666667,15.86666667,238
16,15,13,33,33,100,15,15.86666667,15.86666667,238
16,15,14,32,32,100,15,15.86666667,15.86666667,238
16,15,15,62,62,100,15,15.86666667,15.86666667,238
16,15,16,47,47,100,15,15.86666667,15.86666667,238
16,15,17,45,45,100,15,15.86666667,15.86666667,238
16,15,18,53,53,100,15,15.86666667,15.86666667,238
16,15,19,33,33,100,15,15.86666667,15.86666667,238
16,15,20,51,51,100,15,15.86666667,15.86666667,238
16,15,21,41,41,100,15,15.86666667,15.86666667,238
16,15,22,55,55,100,15,15.86666667,15.86666667,238
16,15,23,33,33,100,15,15.86666667,15.86666667,238
16,15,24,47,47,100,15,15.86666667,15.86666667,238
16,15,25,44,44,100,15,15.86666667,15.86666667,238
16,20,1,42,42,100,20,11.9,11.9,238
16,20,2,35,35,100,20,11.9,11.9,238
16,20,3,65,65,100,20,11.9,11.9,238
16,20,4,30,30,100,20,11.9,11.9,238
16,20,5,27,27,100,20,11.9,11.9,238
16,20,6,29,29,100,20,11.9,11.9,238
16,20,7,45,45,100,20,11.9,11.9,238
16,20,8,29,29,100,20,11.9,11.9,238
16,20,9,25,25,100,20,11.9,11.9,238
16,20,10,47,47,100,20,11.9,11.9,238
16,20,11,38,38,100,20,11.9,11.9,238
16,20,12,33,33,100,20,11.9,11.9,238
16,20,13,31,31,100,20,11.9,11.9,238
16,20,14,36,36,100,20,11.9,11.9,238
16,20,15,31,31,100,20,11.9,11.9,238
16,20,16,41,41,100,20,11.9,11.9,238
16,20,17,28,28,100,20,11.9,11.9,238
16,20,18,44,44,100,20,11.9,11.9,238
16,20,19,33,33,100,20,11.9,11.9,238
16,20,20,19,19,100,20,11.9,11.9,238
16,20,21,30,30,100,20,11.9,11.9,238
16,20,22,36,36,100,20,11.9,11.9,238
16,20,23,31,31,100,20,11.9,11.9,238
16,20,24,39,39,100,20,11.9,11.9,238
16,20,25,37,37,100,20,11.9,11.9,238
16,25,1,31,31,100,25,9.52,9.52,238
16,25,2,35,35,100,25,9.52,9.52,238
16,25,3,35,35,100,25,9.52,9.52,238
16,25,4,26,26,100,25,9.52,9.52,238
16,25,5,25,25,100,25,9.52,9.52,238
16,25,6,22,22,100,25,9.52,9.52,238
16,25,7,43,43,100,25,9.52,9.52,238
16,25,8,24,24,100,25,9.52,9.52,238
16,25,9,21,21,100,25,9.52,9.52,238
16,25,10,35,35,100,25,9.52,9.52,238
16,25,11,32,32,100,25,9.52,9.52,238
16,25,12,29,29,100,25,9.52,9.52,238
16,25,13,29,29,100,25,9.52,9.52,238
16,25,14,21,21,100,25,9.52,9.52,238
16,25,15,21,21,100,25,9.52,9.52,238
16,25,16,23,23,100,25,9.52,9.52,238
16,25,17,28,28,100,25,9.52,9.52,238
16,25,18,38,38,100,25,9.52,9.52,238
16,25,19,27,27,100,25,9.52,9.52,238
16,25,20,25,25,100,25,9.52,9.52,238
16,25,21,23,23,100,25,9.52,9.52,238
16,25,22,27,27,100,25,9.52,9.52,238
16,25,23,25,25,100,25,9.52,9.52,238
16,25,24,31,31,100,25,9.52,9.52,238
16,25,25,23,23,100,25,9.52,9.52,238
16,30,1,42,42,100,30,7.933333333,7.933333333,238
16,30,2,25,25,100,30,7.933333333,7.933333333,238
16,30,3,30,30,100,30,7.933333333,7.933333333,238
16,30,4,22,22,100,30,7.933333333,7.933333333,238
16,30,5,21,21,100,30,7.933333333,7.933333333,238
16,30,6,21,21,100,30,7.933333333,7.933333333,238
16,30,7,19,19,100,30,7.933333333,7.933333333,238
16,30,8,23,23,100,30,7.933333333,7.933333333,238
16,30,9,20,20,100,30,7.933333333,7.933333333,238
16,30,10,17,17,100,30,7.933333333,7.933333333,238
16,30,11,25,25,100,30,7.933333333,7.933333333,238
16,30,12,29,29,100,30,7.933333333,7.933333333,238
16,30,13,24,24,100,30,7.933333333,7.933333333,238
16,30,14,23,23,100,30,7.933333333,7.933333333,238
16,30,15,21,21,100,30,7.933333333,7.933333333,238
16,30,16,19,19,100,30,7.933333333,7.933333333,238
16,30,17,30,30,100,30,7.933333333,7.933333333,238
16,30,18,24,24,100,30,7.933333333,7.933333333,238
16,30,19,31,31,100,30,7.933333333,7.933333333,238
16,30,20,27,27,100,30,7.933333333,7.933333333,238
